model,rmse,mae,rsq
Random Forest,0.8344582134539652,0.6619862433222179,0.302495247658182
Lasso,0.8612031140266339,0.7070612246167532,0.2824481321635781
Linear Regression,0.9600639325239859,0.7561745599124072,0.2162640155660526
Baseline (training mean),0.9896377010630492,NA,NA
